Buy Price (Avg Price ($/kWh) from energyonline.com - year 2020 - CAISO),Sell Price (0.8 * Avg Price ($/kWh)),Emissions (lb CO2e/kWh) from WattTime for 2020 - Civic Center @ SF,Demand Charge
1.87E-02,1.50E-02,1.00246097,14.71
2.11E-02,1.69E-02,0.985623418,14.71
2.65E-02,2.12E-02,0.98606962,14.71
4.34E-02,3.47E-02,0.971659283,14.71
4.38E-02,3.51E-02,0.874530591,14.71
1.99E-02,1.59E-02,0.806773207,14.71
2.70E-02,2.16E-02,0.80446308,14.71
2.98E-02,2.39E-02,0.740412447,14.71
1.60E-02,1.28E-02,0.757200422,14.71
1.43E-02,1.14E-02,0.748900318,14.71
1.79E-02,1.43E-02,0.75953953,14.71
1.92E-02,1.54E-02,0.876995726,14.71
1.94E-02,1.55E-02,1.025123932,14.71
2.02E-02,1.62E-02,1.022129274,14.71
2.49E-02,1.99E-02,1.028439103,14.71
2.99E-02,2.39E-02,1.012195513,14.71
3.35E-02,2.68E-02,1.007793803,14.71
4.30E-02,3.44E-02,1.004451923,14.71
3.78E-02,3.03E-02,1.008069444,14.71
2.99E-02,2.39E-02,1.011544872,14.71
2.72E-02,2.18E-02,1.004808824,14.71
2.94E-02,2.35E-02,0.99004902,14.71
2.27E-02,1.81E-02,1.005607843,14.71
2.15E-02,1.72E-02,0.989661765,14.71
2.15E-02,1.72E-02,0.995026961,14.71
2.04E-02,1.63E-02,0.992482843,14.71
2.01E-02,1.60E-02,0.962571078,14.71
2.63E-02,2.10E-02,0.970875,14.71
2.58E-02,2.06E-02,0.715156863,14.71
2.05E-02,1.64E-02,0.648191176,14.71
1.91E-02,1.53E-02,0.569409314,14.71
2.14E-02,1.71E-02,0.512012255,14.71
1.90E-02,1.52E-02,0.485404412,14.71
1.92E-02,1.54E-02,0.487818627,14.71
1.57E-02,1.26E-02,0.600122549,14.71
1.60E-02,1.28E-02,0.752848039,14.71
2.35E-02,1.88E-02,1.012801471,14.71
2.39E-02,1.91E-02,1.009134804,14.71
2.60E-02,2.08E-02,1.018747549,14.71
2.83E-02,2.27E-02,1.007112745,14.71
3.12E-02,2.50E-02,1.00982598,14.71
3.77E-02,3.02E-02,1.012615196,14.71
3.43E-02,2.75E-02,1.008960784,14.71
4.19E-02,3.35E-02,1.005705882,14.71
3.01E-02,2.41E-02,1.004808824,14.71
2.56E-02,2.05E-02,0.99004902,14.71
2.59E-02,2.07E-02,1.005607843,14.71
2.23E-02,1.78E-02,0.989661765,14.71
2.92E-02,2.34E-02,0.995026961,14.71
2.77E-02,2.22E-02,0.992482843,14.71
2.72E-02,2.18E-02,0.962571078,14.71
2.99E-02,2.39E-02,0.970875,14.71
2.23E-02,1.78E-02,0.715156863,14.71
2.78E-02,2.22E-02,0.648191176,14.71
2.30E-02,1.84E-02,0.569409314,14.71
1.82E-02,1.46E-02,0.512012255,14.71
1.72E-02,1.38E-02,0.485404412,14.71
1.87E-02,1.49E-02,0.487818627,14.71
4.35E-02,3.48E-02,0.600122549,14.71
3.53E-02,2.83E-02,0.752848039,14.71
2.70E-02,2.16E-02,1.012801471,14.71
2.32E-02,1.85E-02,1.009134804,14.71
2.87E-02,2.29E-02,1.018747549,14.71
2.58E-02,2.07E-02,1.007112745,14.71
2.91E-02,2.33E-02,1.00982598,14.71
3.90E-02,3.12E-02,1.012615196,14.71
4.06E-02,3.25E-02,1.008960784,14.71
4.68E-02,3.74E-02,1.005705882,14.71
2.97E-02,2.37E-02,1.009183544,14.71
2.87E-02,2.30E-02,0.993132911,14.71
2.27E-02,1.82E-02,1.00360443,14.71
2.08E-02,1.66E-02,0.998005274,14.71
1.99E-02,1.59E-02,1.00246097,14.71
2.01E-02,1.61E-02,0.985623418,14.71
2.25E-02,1.80E-02,0.98606962,14.71
4.65E-02,3.72E-02,0.971659283,14.71
6.72E-02,5.37E-02,0.874530591,14.71
1.46E-01,1.17E-01,0.806773207,14.71
3.77E-02,3.02E-02,0.80446308,14.71
5.14E-02,4.12E-02,0.740412447,14.71
3.75E-02,3.00E-02,0.757200422,14.71
2.04E-02,1.64E-02,0.748900318,14.71
4.33E-02,3.47E-02,0.75953953,14.71
4.02E-02,3.22E-02,0.876995726,14.71
2.15E-02,1.72E-02,1.025123932,14.71
2.80E-02,2.24E-02,1.022129274,14.71
3.50E-02,2.80E-02,1.028439103,14.71
3.07E-02,2.46E-02,1.012195513,14.71
3.57E-02,2.86E-02,1.007793803,14.71
3.02E-02,2.41E-02,1.004451923,14.71
3.10E-02,2.48E-02,1.008069444,14.71
2.97E-02,2.38E-02,1.011544872,14.71
2.10E-02,1.68E-02,1.009183544,14.71
2.61E-02,2.09E-02,0.993132911,14.71
1.82E-02,1.46E-02,1.00360443,14.71
1.89E-02,1.51E-02,0.998005274,14.71
1.97E-02,1.58E-02,1.00246097,14.71
1.68E-02,1.34E-02,0.985623418,14.71
2.01E-02,1.61E-02,0.98606962,14.71
2.63E-02,2.10E-02,0.971659283,14.71
3.64E-02,2.91E-02,0.874530591,14.71
1.98E-02,1.59E-02,0.806773207,14.71
3.50E-02,2.80E-02,0.80446308,14.71
1.53E-02,1.22E-02,0.740412447,14.71
1.96E-02,1.57E-02,0.757200422,14.71
1.61E-02,1.28E-02,0.748900318,14.71
1.83E-02,1.46E-02,0.75953953,14.71
2.09E-02,1.67E-02,0.876995726,14.71
1.57E-02,1.26E-02,1.025123932,14.71
2.21E-02,1.77E-02,1.022129274,14.71
2.41E-02,1.93E-02,1.028439103,14.71
2.29E-02,1.83E-02,1.012195513,14.71
2.46E-02,1.97E-02,1.007793803,14.71
2.32E-02,1.86E-02,1.004451923,14.71
2.14E-02,1.72E-02,1.008069444,14.71
2.29E-02,1.83E-02,1.011544872,14.71
2.32E-02,1.85E-02,1.009183544,14.71
2.27E-02,1.82E-02,0.993132911,14.71
2.29E-02,1.83E-02,1.00360443,14.71
1.79E-02,1.43E-02,0.998005274,14.71
1.68E-02,1.34E-02,1.00246097,14.71
2.14E-02,1.71E-02,0.985623418,14.71
1.74E-02,1.39E-02,0.98606962,14.71
2.57E-02,2.05E-02,0.971659283,14.71
2.00E-02,1.60E-02,0.874530591,14.71
1.30E-02,1.04E-02,0.806773207,14.71
1.52E-02,1.21E-02,0.80446308,14.71
1.06E-02,8.51E-03,0.740412447,14.71
1.33E-02,1.06E-02,0.757200422,14.71
1.31E-02,1.05E-02,0.748900318,14.71
1.48E-02,1.19E-02,0.75953953,14.71
1.50E-02,1.20E-02,0.876995726,14.71
